benchmarks,default,small_llc,low_bandwidth,scrambled_loads
GemsFDTD_1,0.867885,0.87412,0.429364,0.865581
GemsFDTD_2,0.801768,0.809148,0.398435,0.800675
GemsFDTD_3,0.871315,0.875186,0.420509,0.867932
astar_1,4.332258,3.259929,3.543376,4.317385
astar_2,2.3812,1.017659,1.760775,2.387608
astar_3,1.275155,1.311568,0.787855,1.280289
bwaves_1,1.317237,1.324031,0.534882,1.272766
bwaves_2,1.399094,1.465476,0.642482,1.369343
bwaves_3,1.33915,1.338053,0.540027,1.293355
bzip2_1,2.737385,1.699788,2.189403,2.632679
bzip2_2,2.634621,1.621159,2.100665,2.541174
bzip2_3,3.121435,1.723004,2.535846,2.99924
cactusADM_1,2.117471,2.025826,1.079633,2.041659
cactusADM_2,2.151615,2.055438,1.0865,2.048049
cactusADM_3,2.127355,2.051718,1.093377,2.038834
dealII_1,3.277683,2.509321,2.957812,3.233358
dealII_2,3.501356,3.197152,3.586053,3.433266
dealII_3,3.421913,2.698101,3.26093,3.35411
gcc_1,1.34745,1.293247,0.876478,1.31708
gcc_2,0.610349,0.586777,0.378968,0.609016
gcc_3,2.831164,2.718729,2.52393,2.804765
h264ref_1,3.291676,3.17656,2.860576,3.220299
h264ref_2,3.235445,3.127254,2.784082,3.154255
h264ref_3,3.451086,3.200403,3.162767,3.386048
lbm_1,1.690085,1.720394,0.833326,1.681327
lbm_2,1.684578,1.709572,0.828772,1.677992
lbm_3,1.683334,1.708022,0.828463,1.677418
leslie3d_1,0.975799,0.898808,0.390505,0.963848
leslie3d_2,0.98016,0.888459,0.370978,0.969704
leslie3d_3,0.983378,0.891409,0.365656,0.970783
libquantum_1,2.735966,2.775887,2.278593,2.742018
libquantum_2,2.769981,2.808899,2.329497,2.765353
libquantum_3,2.880696,2.934228,2.463985,2.889893
mcf_1,0.770657,0.804225,0.576645,0.768044
mcf_2,0.36095,0.360312,0.238462,0.360076
mcf_3,0.385779,0.356218,0.2353,0.387246
milc_1,1.117372,1.181895,0.577705,1.12569
milc_2,1.061475,1.126855,0.542667,1.06647
milc_3,1.07902,1.141631,0.552632,1.084432
omnetpp_1,0.839711,0.831081,0.561445,0.873019
omnetpp_2,0.590108,0.588605,0.437797,0.602385
omnetpp_3,0.154095,0.138664,0.121547,0.159371
soplex_1,0.717895,0.585109,0.370791,0.716831
soplex_2,1.234481,0.617792,0.89949,1.231139
soplex_3,0.757248,0.653504,0.402106,0.75647
shpinx3_1,1.358252,1.189207,0.653658,1.354896
sphinx3_2,1.373049,1.227856,0.656958,1.370151
sphinx3_3,1.379936,1.228098,0.662163,1.378289
tonto_1,3.999207,3.560453,4.009783,3.852026
tonto_2,4.335424,3.788259,4.298531,4.215647
tonto_3,4.468106,4.292535,4.42821,4.277829
wrf_1,3.512151,2.918791,3.428536,3.150692
wrf_2,3.51889,2.906182,3.418761,3.171647
wrf_3,3.506355,3.00855,3.43317,3.153956
xalancbmk_1,0.712389,0.657631,0.435424,0.719312
xalancbmk_2,0.674326,0.623275,0.387883,0.681057
xalancbmk_3,0.755498,0.687873,0.441599,0.761661
zeusmp_1,1.638878,1.553492,0.973476,1.702631
zeusmp_2,3.171853,2.721964,1.635068,3.136893
zeusmp_3,1.36098,1.330488,0.691836,1.352129
geomean,1.545600524,1.387920855,0.987065079,1.524636892
