benchmarks,default,small_llc,low_bandwidth,scrambled_loads
GemsFDTD_1,0.865188,0.87285,0.426138,0.863478
GemsFDTD_2,0.800925,0.809494,0.395768,0.798772
GemsFDTD_3,0.866667,0.872061,0.413772,0.86374
astar_1,4.151135,3.28547,3.60954,4.136526
astar_2,2.440297,1.074059,1.876105,2.4404
astar_3,1.263838,1.308275,0.807969,1.268232
bwaves_1,1.283632,1.291075,0.531789,1.263615
bwaves_2,1.362341,1.429624,0.637673,1.347729
bwaves_3,1.307198,1.308336,0.537258,1.287238
bzip2_1,2.563526,1.692937,2.007567,2.530135
bzip2_2,2.480582,1.620224,1.93339,2.454452
bzip2_3,2.872767,1.692703,2.276801,2.8525
cactusADM_1,2.056606,1.99704,1.068415,2.019672
cactusADM_2,2.120844,2.049526,1.078918,2.038183
cactusADM_3,2.100875,2.050614,1.086123,2.025518
dealII_1,3.416772,2.594775,2.980558,3.374015
dealII_2,3.731265,3.381181,3.623358,3.656588
dealII_3,3.606735,2.809113,3.288544,3.540974
gcc_1,1.432446,1.440602,0.919618,1.431986
gcc_2,0.633365,0.634141,0.457538,0.635089
gcc_3,2.85553,2.754292,2.556497,2.831709
h264ref_1,3.329252,3.207177,2.864572,3.253471
h264ref_2,3.278554,3.160235,2.794774,3.192965
h264ref_3,3.478069,3.232536,3.076362,3.411778
lbm_1,1.690713,1.722235,0.833565,1.688726
lbm_2,1.685617,1.713904,0.828999,1.687238
lbm_3,1.685211,1.71271,0.829052,1.687001
leslie3d_1,0.952378,0.895443,0.373899,0.941854
leslie3d_2,0.956443,0.8855,0.363132,0.945447
leslie3d_3,0.957783,0.886893,0.358523,0.945353
libquantum_1,2.731053,2.773704,2.267456,2.733928
libquantum_2,2.783258,2.843887,2.323709,2.785528
libquantum_3,2.899319,2.948012,2.459412,2.910382
mcf_1,0.724182,0.757377,0.550251,0.727349
mcf_2,0.35167,0.353528,0.249708,0.352768
mcf_3,0.411743,0.381368,0.257851,0.417523
milc_1,1.196812,1.279914,0.617787,1.194317
milc_2,1.131977,1.215804,0.580075,1.129046
milc_3,1.156934,1.238159,0.592447,1.155045
omnetpp_1,0.849201,0.824773,0.572735,0.878916
omnetpp_2,0.588656,0.577043,0.442297,0.59944
omnetpp_3,0.157682,0.138161,0.121248,0.16065
soplex_1,0.708839,0.5807,0.355855,0.708103
soplex_2,1.435241,0.735846,0.934562,1.436635
soplex_3,0.75441,0.648692,0.406983,0.754564
shpinx3_1,1.347108,1.183597,0.645169,1.34737
sphinx3_2,1.364511,1.223998,0.648585,1.363867
sphinx3_3,1.371524,1.22491,0.653726,1.371847
tonto_1,4.011058,3.58031,4.00272,3.861308
tonto_2,4.334935,3.767728,4.274941,4.213906
tonto_3,4.459858,4.283866,4.420721,4.270519
wrf_1,3.545204,3.09801,3.470979,3.157392
wrf_2,3.521568,3.079553,3.441607,3.161403
wrf_3,3.538566,3.085992,3.457584,3.165051
xalancbmk_1,0.700614,0.650472,0.400645,0.701719
xalancbmk_2,0.664969,0.617355,0.395263,0.665969
xalancbmk_3,0.743492,0.681022,0.447129,0.744367
zeusmp_1,1.730627,1.488834,0.96701,1.714234
zeusmp_2,2.989339,2.65046,1.70541,2.952429
zeusmp_3,1.273021,1.266408,0.6903,1.26557
geomean,1.547716342,1.40297659,0.990493909,1.529446757
